id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Granite Echo,Cinder Veil,metal,intense,0.95,168,0.32,0.55,0.08
12,Salt Air Sunday,Harbor Lights,folk,relaxed,0.33,88,0.68,0.42,0.94
13,Pulse Check,DJ Verse,edm,happy,0.88,126,0.86,0.91,0.04
14,Quarter Notes,The Uptown Trio,jazz,happy,0.55,112,0.78,0.68,0.12
15,Riverbank Hush,Tall Pine,ambient,focused,0.22,54,0.42,0.33,0.96
16,Neon Sprint,Kairo Keys,hip hop,intense,0.87,98,0.62,0.85,0.11
17,Island Static,Solar Roots,reggae,chill,0.48,92,0.74,0.72,0.45
18,Nocturne in Blue,Anya Frost,classical,moody,0.18,64,0.38,0.28,0.97
